% 0 a London
% 1 b Berlin
% 2 c Madrid
% 3 d Kiev
% 4 e Rome
% 5 f Paris
% 6 g Minsk
% 7 h Stockholm
% 8 i Dublin
% 9 j Vienna
n 217 300
n 403 316
n 118 60
n 645 303
n 402 71
n 245 234
n 580 376
n 448 483
n 146 366
n 453 215
e 0 5 343
e 1 6 954
e 1 5 879
e 2 5 1054
e 2 4 1364
e 3 6 433
e 4 5 1106
e 8 0 464
e 0 7 1435
e 1 7 811
e 6 7 837
e 4 9 766
e 3 9 1053
e 1 9 524
e 5 0 343
e 6 1 954
e 5 1 879
e 5 2 1054
e 4 2 1364
e 6 3 433
e 5 4 1106
e 0 8 464
e 7 0 1435
e 7 1 811
e 7 6 837
e 9 4 766
e 9 3 1053
e 9 1 524
